Round,Year,President,Awardee,Project Name,Applicant Name,State,City,GrantAmount,Funding Request,Project Cost,Project Type,Density
TIGER II,2010,Obama,No,Mapp Road Town Center Complete Streets,Martin County Community Redevelopment Agency,Florida,Stuart,#N/A,"$9,200,000","$11,500,000",Road,N/A
TIGER II,2010,Obama,No,Master Mobility Plan Phase II,Collier County Board of County Commissioners,Florida,Naples,#N/A,"$480,000","$600,000",Planning,N/A
TIGER II,2010,Obama,No,Miami Greenway Network,"City of Miami, FL",Florida,Miami,#N/A,"$28,547,575","$45,675,820",Road,N/A
TIGER II,2010,Obama,No,"Miami Intermodal Center (MIC) Program, MIC Central Station (MIC)",Florida Department of Transportation,Florida,Miami,#N/A,"$25,000,000","$95,551,000",Rail,N/A
TIGER II,2010,Obama,No,Miami Regional Intermodal Plan,"City of Miami, FL",Florida,Miami,#N/A,"$150,000","$300,000",Planning,N/A
TIGER II,2010,Obama,No,Miami River- Miami Intermodal Center Capacity Improvement Project ( MR MICCI),South Florida Regional Transportation Authority,Florida,Pompano Beach,#N/A,"$600,000","$1,200,000",Planning,N/A
TIGER II,2010,Obama,No,Miami-Dade County Corridor Master Plans,Miami-Dade County,Florida,Miami,#N/A,"$600,000","$900,000",Planning,N/A
TIGER II,2010,Obama,No,Midway Transportation Safety Enhancement Project,City of Midway,Florida,Midway,#N/A,"$6,455,080","$6,455,080",Road,N/A
TIGER II,2010,Obama,No,Monroe County Bridge Repair and Rehabilitation Project,Monroe County,Florida,Key West,#N/A,"$11,200,000","$14,000,000",Road,N/A
TIGER II,2010,Obama,No,Multi-Purpose Pedestrian/Bicycle Lane on SR 71,Jackson County,Florida,Youngstown,#N/A,"$1,700,000","$2,000,000",Bicycle and Pedestrian,N/A
TIGER II,2010,Obama,No,MULTIMODAL TRANSPORTATION IMPROVEMENT & SUSTAINABILITY,CITY OF OLDSMAR,Florida,Oldsmar,#N/A,"$3,000,000","$5,000,000",Planning,N/A
TIGER II,2010,Obama,No,Multimodal Transportation Seaport Infrastructure Investment Project,Port of Palm Beach District,Florida,West Palm Beach,#N/A,"$72,000,000","$90,000,000",Maritime,N/A
TIGER II,2010,Obama,No,Multimodal Transportation Seaport Infrastructure Investment Project - Planning,Port of Palm Beach District,Florida,West Palm Beach,#N/A,"$10,000,000","$12,000,000",Planning,N/A
TIGER II,2010,Obama,No,NE Florida Rural Center Transportation Connectivity Initiative,Putnam County Board of County Commissioners,Florida,East Palatka,#N/A,"$39,593,204","$39,593,204",Road,N/A
TIGER II,2010,Obama,No,Northeast Palm Coast Revitalization Plan,City of Palm Coast,Florida,Palm Coast,#N/A,"$1,000,000","$1,000,000",Planning,N/A
TIGER II,2010,Obama,No,Northern Broward County Gateway Hub and Jobs/Housing Balance,Broward Metropolitan Planning Organization,Florida,Fort Lauderdale,#N/A,"$300,000","$400,000",Planning,N/A
TIGER II,2010,Obama,No,NW 25th Street Viaduct (West) - Miami International Airport Air-Cargo and Freight Access Project Phase II,Miami-Dade Aviation Department,Florida,Miami,#N/A,"$103,500,000","$229,727,864",Maritime,N/A
TIGER II,2010,Obama,No,Oakes Road Extension,Town of Davie,Florida,Fort Lauderdale,#N/A,"$1,600,000","$2,000,000",Planning,N/A
TIGER II,2010,Obama,No,Ocean Avenue Bridge Replacement over Intracoastal Waterway,Palm Beach County - Engineering Department,Florida,West Palm Beach,#N/A,"$29,600,000","$37,000,000",Road,N/A
TIGER II,2010,Obama,No,Old Kings Road 4 Laning - Phase II,City of Palm Coast,Florida,Palm Coast,#N/A,"$32,000,000","$40,000,000",Road,N/A
TIGER II,2010,Obama,No,Old Kings Road North Reconstruction,City of Palm Coast,Florida,Palm Coast,#N/A,"$10,880,000","$13,600,000",Road,N/A
TIGER II,2010,Obama,No,Opalocka Roadway Improvements & Revitalization Project,City of Opa-locka,Florida,Opa Locka,#N/A,"$22,400,000","$28,000,000",Road,N/A
TIGER II,2010,Obama,No,Orange Avenue Midtown Neighborhood Roadway Improvement and Storm-Water Mitigation Project,City of Daytona Beach,Florida,Daytona Beach,#N/A,"$15,937,795","$19,922,244",Road,N/A
TIGER II,2010,Obama,No,Orlando International Airport (OIA) Connector,Florida Department of Transportation,Florida,Deland,#N/A,"$850,000","$1,700,000",Planning,N/A
TIGER II,2010,Obama,No,Palm Bay City-wide Alternative Transportation Network,City of Palm Bay,Florida,Palm Bay,#N/A,"$4,480,000","$5,600,000",Planning,N/A
TIGER II,2010,Obama,No,Palm Bay Parkway - Malabar to Emerson,City of Palm Bay,Florida,Palm Bay,#N/A,"$12,900,000","$16,100,000",Road,N/A
TIGER II,2010,Obama,No,Palm Coast Parkway Reconstruction,City of Palm Coast,Florida,Palm Coast,#N/A,"$6,400,000","$8,000,000",Road,N/A
TIGER II,2010,Obama,No,Palmetto Bay Multimodal Transit Station,Village of Palmetto Bay,Florida,Miami,#N/A,"$12,800,000","$16,000,000",Transit,N/A
TIGER II,2010,Obama,No,Pan American North Elevated Intersection Bridge,"Town of Medley, Florida",Florida,Miami,#N/A,"$12,000,000","$15,000,000",Road,N/A
TIGER II,2010,Obama,No,"Panama City Beach – CRA, Front Beach Road Segment II Improvement Project",City of Panama City Beach,Florida,Panama City Beach,#N/A,"$17,104,000","$21,380,000",Transit,N/A
TIGER II,2010,Obama,No,Panama City In-fill Land Bank,City of Panama City,Florida,Panama City,#N/A,"$3,000,000","$3,600,000",Planning,N/A
TIGER II,2010,Obama,No,Panhandle Rd and Pelt St Multi-Purpose Pedestrian/ Bycycle Lane,Jackson County,Florida,Youngstown,#N/A,"$320,000","$475,000",Bicycle and Pedestrian,N/A
TIGER II,2010,Obama,No,Pennsylvania Avenue Improvements,City of Marianna,Florida,Marianna,#N/A,"$1,700,000","$1,700,000",Road,N/A
TIGER II,2010,Obama,No,Pensacola Intermodal Transportation System Enhancements & Improvements,Port of Pensacola (City of Pensacola),Florida,Pensacola,#N/A,"$23,865,000","$30,070,000",Maritime,N/A
TIGER II,2010,Obama,No,Perry Rail Extension Project,"Taylor County, Florida",Florida,Perry,#N/A,"$26,379,570","$66,028,620",Rail,N/A
TIGER II,2010,Obama,No,Pinellas Bayway Bridge (SR 682) Structure “C”,Florida Department of Transportation,Florida,Tampa,#N/A,"$27,700,000","$62,500,000",Road,N/A
TIGER II,2010,Obama,No,Pinellas County Florida Arterial Intelligent Transportation System (ITS) Improvements,"Pinellas County, Florida",Florida,Clearwater,#N/A,"$36,621,375","$52,316,250",Road,N/A
TIGER II,2010,Obama,No,Pinellas County Florida Arterial Roadway Intelligent Transportation System (ITS) Improvements,"Pinellas County, Florida",Florida,Clearwater,#N/A,"$2,611,000","$3,730,000",Planning,N/A
TIGER II,2010,Obama,No,Planning and Analysis for a Downtown Sarasota Urban Ciruclator,"City of Sarasota, Florida",Florida,Sarasota,#N/A,"$1,225,000","$1,750,000",Planning,N/A
TIGER II,2010,Obama,No,Platt Street Bascule Bridge Major Repair,Hillsborough County,Florida,Tampa,#N/A,"$8,567,786","$13,125,000",Road,N/A
TIGER II,2010,Obama,No,Port Improvements For Gulf Research Vessels & Mega Yachts,"City of St. Petersburg, Florida",Florida,Saint Petersburg,#N/A,"$10,000,000","$12,000,000",Maritime,N/A
TIGER II,2010,Obama,No,Port of Tampa Gateway Rail Facility,Tampa Port Authority,Florida,Tampa,#N/A,"$10,463,900","$14,513,900",Rail,N/A
TIGER II,2010,Obama,No,Port St. Joe Green Energy Port and Rail Connector,Port St. Joe Port Authority,Florida,Port Saint Joe,#N/A,"$39,136,000","$39,136,000",Maritime,N/A
TIGER II,2010,Obama,No,Renewable Energy Powered Sky Train Overhead Suspended Light Rail System at the Museum of Science and Industr,University of South Florida,Florida,Tampa,#N/A,"$25,000,000","$30,000,000",Rail,N/A
TIGER II,2010,Obama,No,Resurfacing Community Roads,City of Miami Gardens,Florida,Miami,#N/A,"$10,000,000","$10,000,000",Road,N/A
TIGER II,2010,Obama,No,Road Reconstruction Lab,City of Palm Bay,Florida,Palm Bay,#N/A,"$50,000,000","$60,000,000",Planning,N/A
TIGER II,2010,Obama,No,SmartLink,South Florida Regional Transportation Authority,Florida,Pompano Beach,#N/A,"$17,915,398","$29,915,398",Transit,N/A
TIGER II,2010,Obama,No,Smokehouse Bay Bridge,City of Marco Island,Florida,Marco Island,#N/A,"$5,000,000","$16,600,000",Road,N/A
TIGER II,2010,Obama,No,Snake Road Improvement Project,Seminole Tribe of Florida,Florida,Hollywood,#N/A,"$62,105,463","$66,211,323",Road,N/A
TIGER II,2010,Obama,No,South Florida Rail Corridor Concrete Tie Upgrade Project,South Florida Regional Transportation Authority,Florida,Pompano Beach,#N/A,"$20,000,000","$25,000,000",Transit,N/A
TIGER II,2010,Obama,No,South River Landing Road Improvements,City of Chattahoochee,Florida,Chattahoochee,#N/A,"$1,700,000","$1,700,000",Road,N/A
TIGER II,2010,Obama,No,SR 524 Project Development and Environment Study (PD&E),City of Cocoa,Florida,Cocoa,#N/A,"$1,182,240","$1,477,800",Planning,N/A
TIGER II,2010,Obama,No,SR79 Four-lane expansion from Strickland Rd to North of Mill Branch Bridge,Florida Department of Transportation,Florida,Chipley,#N/A,"$22,050,000","$28,050,000",Road,N/A
TIGER II,2010,Obama,No,State Road 56 Corridor and Roadway Design from MeadowPointe Boulevard to U.S. 301,Pasco County Board of County Commissioners,Florida,New Port Richey,#N/A,"$2,973,750","$3,965,000",Planning,N/A
TIGER II,2010,Obama,No,Steinhatchee Springs Bridge Replacement,Lafayette County Board of County Commissioners,Florida,Mayo,#N/A,"$1,125,000","$1,200,000",Road,N/A
TIGER II,2010,Obama,No,SW 62nd Blvd Connector,City of Gainesville,Florida,Gainesville,#N/A,"$34,000,000","$62,000,000",Road,N/A
TIGER II,2010,Obama,No,Sweetwater – FIU Tamiami Trail Pedestrian Bridge and Linear Park Restoration,City of Sweetwater,Florida,Miami,#N/A,"$10,000,000","$12,500,000",Bicycle and Pedestrian,N/A
TIGER II,2010,Obama,No,Tallahassee - Leon County Multimodal Transportation Plan,Leon County,Florida,Tallahassee,#N/A,"$53,730,831","$75,730,831",Bicycle and Pedestrian,N/A
TIGER II,2010,Obama,No,Tampa's Primary Transit Cooridor Master Plan,City of Tampa,Florida,Tampa,#N/A,"$1,181,250","$1,431,250",Planning,N/A
TIGER II,2010,Obama,No,The Mid-Bay Bridge Connector; Phases 2 & 3,Mid-Bay Bridge Authority,Florida,Niceville,#N/A,"$5,000,000","$136,600,000",Road,N/A
TIGER II,2010,Obama,No,"The Palm Beach County Application will address the distress factors of a section of the rural area of the County with a 47% poverty rate and a 45% unemployment rates to create a sustainable community through enhancing economic competitiveness, promoting m",Palm Beach County Economic Development Department,Florida,West Palm Beach,#N/A,"$3,000,000","$3,000,000",Planning,N/A
TIGER II,2010,Obama,No,Town of Century Road/Bridge Improvements,"Town of Century, Florida",Florida,Milton,#N/A,"$1,178,796","$1,237,736",Road,N/A
TIGER II,2010,Obama,No,U.S. 1 Express Lanes,Miami-Dade Expressway Authority,Florida,Miami,#N/A,"$3,000,000","$10,000,000",Planning,N/A
TIGER II,2010,Obama,No,U.S. 1/C.R. 210 Overpass,"St. Johns County, Florida",Florida,Saint Augustine,#N/A,"$24,717,474","$35,838,806",Road,N/A
TIGER II,2010,Obama,No,Urban Artists Initiative,City of Jacksonville,Florida,Jacksonville,#N/A,"$1,000,000","$1,200,000",Planning,N/A
TIGER II,2010,Obama,No,US 1 Corridor Improvements Highway Project,City of South Daytona,Florida,Daytona Beach,#N/A,"$38,200,000","$47,750,000",Road,N/A
TIGER II,2010,Obama,No,US 19 Corridor Redevelopment Master Plan,Pasco County Board of County Commissioners,Florida,New Port Richey,#N/A,"$3,000,000","$4,100,000",Planning,N/A
TIGER II,2010,Obama,No,US 192 and US 441 CRA Master Redevelopment Plans,City of Kissimmee,Florida,Kissimmee,#N/A,"$448,000","$560,000",Planning,N/A
TIGER II,2010,Obama,No,US 331 (SR20 to Owls Head),Walton County Board of County Commissioners,Florida,Defuniak Springs,#N/A,"$39,850,666","$39,850,666",Road,N/A
TIGER II,2010,Obama,No,US Highway 319 Intersection Improvements,Wakulla County,Florida,Crawfordville,#N/A,"$35,000,000","$35,000,000",Road,N/A
TIGER II,2010,Obama,No,US331 (SR83) Four-lane expansion from South of Bay Grove Road to South of SR20,Florida Department of Transportation,Florida,Chipley,#N/A,"$27,713,000","$34,713,000",Road,N/A
TIGER II,2010,Obama,No,West Columbus Drive Swing Bridge Rehabilitation,Hillsborough County,Florida,Tampa,#N/A,"$5,807,715","$10,430,000",Road,N/A
TIGER II,2010,Obama,No,West Volusia Sustainable Development Plan and Implementation Strategy,City of DeLand,Florida,Deland,#N/A,"$200,000","$250,000",Planning,N/A
TIGER II,2010,Obama,No,Wilton Manors Transit Corridors & Green Impact Zone,City of Wilton Manors,Florida,Fort Lauderdale,#N/A,"$10,000,000","$12,500,000",Road,N/A
TIGER II,2010,Obama,No,Yellow Creek Bridge,Liberty County Board of County Commissioners,Florida,Bristol,#N/A,"$1,400,000","$1,400,000",Road,N/A
TIGER III,2011,Obama,Yes,Dames Point Marine Terminal Intermodal,Jacksonville Port Authority (JAXPORT),Florida,Jacksonville,"$10,000,000.00","$25,000,000","$40,000,000",Freight Rail,Rural
TIGER III,2011,Obama,Yes,Snake Road Improvement,Seminole Tribe of Florida,Florida,Hollywood,"$3,700,000.00","$3,700,000","$4,620,000",Road,Rural
TIGER III,2011,Obama,No,2011 Tiger Improvements,Gadsden County Board of County Commissioners,Florida,Quincy,#N/A,"$6,840,000","$6,840,000",Road,N/A
TIGER III,2011,Obama,No,Barge Port and Roadway Improvements for Business Revitalization and Intermodal Operations,Putnam County Board of County Commissioners,Florida,East Palatka,#N/A,"$10,000,000","$12,000,000",Maritime,N/A
TIGER III,2011,Obama,No,Big Bend of Florida CNG and LNG Public/Private Partnership Project,Leon County School Board,Florida,Tallahassee,#N/A,"$10,000,000","$12,500,000",Transit,N/A
TIGER III,2011,Obama,No,Blackwater Roads and Bryant Bridge,"Florida Department of Agriculture, Forest Service",Florida,Milton,#N/A,"$12,000,000","$12,000,000",Road,N/A
TIGER III,2011,Obama,No,Brevard County Welcome Center,Brevard County Board of County Commissioners,Florida,Melbourne,#N/A,"$1,300,000","$2,600,000",Transit,N/A
TIGER III,2011,Obama,No,Bruce B. Downs Capacity Improvements,Hillsborough County,Florida,Tampa,#N/A,"$14,976,000","$18,720,000",Transit,N/A
TIGER III,2011,Obama,No,Burgess Rd Realignment,"Escambia County, FL",Florida,Pensacola,#N/A,"$16,800,000","$21,000,000",Road,N/A
TIGER III,2011,Obama,No,Card Sound Bridge Repair/Rehabilitation,Monroe County,Florida,Key West,#N/A,"$4,032,000","$5,040,000",Road,N/A
TIGER III,2011,Obama,No,Crosstown Parkway Extension,City of Port St Lucie,Florida,Port Saint Lucie,#N/A,"$13,500,000","$201,821,775",Road,N/A
TIGER III,2011,Obama,No,Daytona Beach-Midtown Multimodal Cooridor,City of Daytona Beach,Florida,Daytona Beach,#N/A,"$16,000,000","$20,000,000",Road,N/A
TIGER III,2011,Obama,No,East Central Florida Regional Rail Trail -Missing Link,"Volusia County, Florida",Florida,Deland,#N/A,"$14,500,000","$14,500,000",Bicycle and Pedestrian,N/A
TIGER III,2011,Obama,No,Englewood Interstate Connector,Sarasota County Board of County Commissioners,Florida,Sarasota,#N/A,"$28,800,000","$36,000,000",Road,N/A
TIGER III,2011,Obama,No,Florida State Road 87 North Widening,Santa Rosa County Board of Commissioners,Florida,Milton,#N/A,"$3,400,000","$3,400,000",Road,N/A
TIGER III,2011,Obama,No,"Fort Lauderdale Downtown Transit Circulator (DTC) streetcar Project aka ""The Wave""",South Florida Regional Transportation Authority,Florida,Pompano Beach,#N/A,"$25,000,000","$142,589,000",Transit,N/A
TIGER III,2011,Obama,No,Front Beach Road Segment 2 Improvement Project,City of Panama City Beach,Florida,Panama City Beach,#N/A,"$13,600,000","$17,000,000",Transit,N/A
TIGER III,2011,Obama,No,Greenbrier Boulevard Extension,"Escambia County, FL",Florida,Pensacola,#N/A,"$10,000,000","$13,051,894",Road,N/A
TIGER III,2011,Obama,No,Hanson Street Extension,City of Fort Myers,Florida,Fort Myers,#N/A,"$10,900,400","$13,625,500",Road,N/A
TIGER III,2011,Obama,No,Hendry County State Road 80 Project - Construction from Birchwood Parkway to Dalton Lane 5.25 miles,Hendry County Board of County Commissioners,Florida,Labelle,#N/A,"$44,720,000","$44,720,000",Road,N/A
TIGER III,2011,Obama,No,Indiantown TIGER-EPV Network,Martin County Community Redevelopment Agency,Florida,Stuart,#N/A,"$4,600,000","$4,800,000",Bicycle and Pedestrian,N/A
TIGER III,2011,Obama,No,Lake Nona Medical City BRT/Circulator,Central Florida Regional Transportation Authority d/b/a LYNX,Florida,Orlando,#N/A,"$35,000,000","$46,000,000",Transit,N/A
TIGER III,2011,Obama,No,Lee County Complete Streets Initiative,Lee County Metropolitan Planning Organization,Florida,Fort Myers,#N/A,"$10,000,000","$13,000,000",Bicycle and Pedestrian,N/A
TIGER III,2011,Obama,No,Leon County Bicycle and Pedestrian Plan,Leon County,Florida,Tallahassee,#N/A,"$17,000,000","$21,251,000",Bicycle and Pedestrian,N/A
TIGER III,2011,Obama,No,Miami International Airport Perimeter Road Widening & Realignment,Miami-Dade Aviation Department,Florida,Miami,#N/A,"$19,200,000","$24,000,000",Road,N/A
TIGER III,2011,Obama,No,Middle Beach Recreational Corridor (MBRC),City of Miami Beach,Florida,Miami Beach,#N/A,"$10,510,908","$13,138,636",Bicycle and Pedestrian,N/A
TIGER III,2011,Obama,No,NE Florida Rural Center Transportation Connectivity Initiative,Putnam County Board of County Commissioners,Florida,East Palatka,#N/A,"$8,173,276","$10,173,276",Road,N/A
TIGER III,2011,Obama,No,Old Kings Road North,City of Palm Coast,Florida,Palm Coast,#N/A,"$13,208,000","$16,511,000",Road,N/A
TIGER III,2011,Obama,No,Opa-locka Roadway System Improvements Project,City of Opa-locka,Florida,Opa Locka,#N/A,"$10,000,000","$12,500,000",Bicycle and Pedestrian,N/A
TIGER III,2011,Obama,No,Orlando Regional Multimodal Pedestrian Safety Program,"Orange County, Florida",Florida,Orlando,#N/A,"$14,345,724","$18,523,186",Bicycle and Pedestrian,N/A
TIGER III,2011,Obama,No,Palmetto Bay Multimodal Transit Station,Village of Palmetto Bay,Florida,Miami,#N/A,"$15,000,000","$20,000,000",Transit,N/A
TIGER III,2011,Obama,No,Pinellas County Florida Arterial Intelligent Transportation System (ITS) Improvements,"Pinellas County, Florida",Florida,Clearwater,#N/A,"$27,581,128","$44,091,978",Road,N/A
TIGER III,2011,Obama,No,Piper Road North,Charlotte County Board of County Commissioners,Florida,Port Charlotte,#N/A,"$9,600,000","$13,600,000",Road,N/A
TIGER III,2011,Obama,No,Port Canaveral Cargo Berth Expansion Project,Canaveral Port Authority,Florida,Cape Canaveral,#N/A,"$30,000,000","$40,000,000",Maritime,N/A
TIGER III,2011,Obama,No,Port Manatee Berth and Rail Enchancements,Manatee County Port Authority,Florida,Palmetto,#N/A,"$26,920,000","$33,650,000",Maritime,N/A
TIGER III,2011,Obama,No,Port of Palm Beach Slip #3 Reconstruction and Expansion,Port of Palm Beach District,Florida,West Palm Beach,#N/A,"$20,000,000","$42,000,000",Maritime,N/A
TIGER III,2011,Obama,No,Port of Pensacola Intermodal Terminal Improvements,Port of Pensacola (City of Pensacola),Florida,Pensacola,#N/A,"$12,830,000","$17,380,000",Maritime,N/A
TIGER III,2011,Obama,No,RSW Road Network System Improvements,Lee County Port Authority,Florida,Fort Myers,#N/A,"$15,603,000","$85,603,000",Road,N/A
TIGER III,2011,Obama,No,Sanford Riverwalk,City of Sanford,Florida,Sanford,#N/A,"$10,000,000","$13,000,000",Bicycle and Pedestrian,N/A
TIGER III,2011,Obama,No,SE 92nd Loop (Belleview Bypass),Marion County Board of County Commissioners,Florida,Ocala,#N/A,"$20,640,000","$25,800,000",Road,N/A
TIGER III,2011,Obama,No,Smokehouse Bay Bridge Project,City of Marco Island,Florida,Marco Island,#N/A,"$5,000,000","$11,218,089",Road,N/A
TIGER III,2011,Obama,No,South Florida Express Lane System Improvements (I-75 Park-n-Ride Lot/Express Bus Capital Purchase),Florida Department of Transportation,Florida,Fort Lauderdale,#N/A,"$16,310,000","$21,121,172",Transit,N/A
TIGER III,2011,Obama,No,SR 30/US 98 and Cody Ave. Single Point Urban Interchange at the Entrance to Hurlburt Field,Florida Department of Transportation,Florida,Chipley,#N/A,"$16,950,000","$21,200,000",Road,N/A
TIGER III,2011,Obama,No,SR 46 Widening and Reconstruction and Realignment Project – Wekiva Parkway Segment 7B,Florida Department of Transportation,Florida,Orlando,#N/A,"$21,920,311","$1,931,582,795",Road,N/A
TIGER III,2011,Obama,No,St. John's Heritage Parkway,Brevard County Board of County Commissioners,Florida,Melbourne,#N/A,"$22,000,000","$41,000,000",Road,N/A
TIGER III,2011,Obama,No,State Road 836 Enhanced Bus Service,Miami-Dade Transit,Florida,Miami,#N/A,"$19,645,498","$24,566,873",Transit,N/A
TIGER III,2011,Obama,No,SW 62nd Blvd Connector,City of Gainesville,Florida,Gainesville,#N/A,"$34,000,000","$62,000,000",Road,N/A
TIGER III,2011,Obama,No,The Tampa Riverwalk- Phase I & II Completion,City of Tampa,Florida,Tampa,#N/A,"$10,060,000","$12,575,000",Bicycle and Pedestrian,N/A
TIGER III,2011,Obama,No,Trans-Florida Rail-Trail Greenway,City of Fellsmere,Florida,Fellsmere,#N/A,"$5,600,000","$7,400,000",Bicycle and Pedestrian,N/A
TIGER III,2011,Obama,No,Transforming Regional Communities Through Connectivity,City of Casselberry,Florida,Casselberry,#N/A,"$20,169,564","$34,364,141",Transit,N/A
TIGER III,2011,Obama,No,Transit and Emergency Response Enhancements,City of Tallahassee,Florida,Tallahassee,#N/A,"$10,000,000","$13,500,000",Transit,N/A
TIGER III,2011,Obama,No,UniversityCity at FIU and Sweetwater,Florida International University,Florida,Miami,#N/A,"$30,000,000","$37,500,000",Bicycle and Pedestrian,N/A
TIGER III,2011,Obama,No,US 331 Four Laning from SR20 to Owl's Head Road,Walton County Board of County Commissioners,Florida,Defuniak Springs,#N/A,"$30,400,000","$38,000,000",Road,N/A
TIGER III,2011,Obama,No,US 90A / Nine Mile Rd Expansion,"Escambia County, FL",Florida,Pensacola,#N/A,"$12,080,000","$15,100,000",Road,N/A
TIGER III,2011,Obama,No,Washington Boulevard Extension,Washington County Board of County Commissioners,Florida,Santa Rosa Beach,#N/A,"$4,870,000","$5,844,000",Road,N/A
TIGER IV,2012,Obama,Yes,Fort Lauderdale Wave Streetcar Project,South Florida Regional Transportation Authority,Florida,Pompano Beach,"$18,000,000.00","$18,000,000","$83,200,000",Transit,Urban
TIGER IV,2012,Obama,Yes,Tampa Downtown Multimodal Improvements,City of Tampa,Florida,Tampa,"$10,943,100.00","$11,345,600","$16,208,000",Bicycle and Pedestrian,Urban
TIGER IV,2012,Obama,No,Barge Port and Roadway Improvements for Business Revitalization and Intermodal Operations,Putnam County Board of County Commissioners,Florida,East Palatka,#N/A,"$10,000,000","$12,000,000",Maritime,N/A
TIGER IV,2012,Obama,No,Bruce B. Downs Capacity Improvements,Hillsborough County,Florida,Tampa,#N/A,"$14,976,000","$18,720,000",Road,N/A
TIGER IV,2012,Obama,No,Burgess Road Realignment,"Escambia County, FL",Florida,Pensacola,#N/A,"$15,000,000","$23,750,000",Road,N/A
TIGER IV,2012,Obama,No,City of Tallahassee & Leon County Schools CNG P3 Project,City of Tallahassee,Florida,Tallahassee,#N/A,"$10,000,000","$12,500,000",Transit,N/A
TIGER IV,2012,Obama,No,Construct Bob Sikes Airport Access Road,Okaloosa County Board of County Commissioners,Florida,Fort Walton Beach,#N/A,"$9,600,000","$12,000,000",Road,N/A
TIGER IV,2012,Obama,No,Crosstown Parkway Extension,City of Port St Lucie,Florida,Port Saint Lucie,#N/A,"$13,500,000","$201,821,775",Road,N/A
TIGER IV,2012,Obama,No,Front Beach Road Segment 2 Improvement Project,City of Panama City Beach,Florida,Panama City Beach,#N/A,"$13,600,000","$17,000,000",Transit,N/A
TIGER IV,2012,Obama,No,Hanson Street Extension,City of Fort Myers,Florida,Fort Myers,#N/A,"$10,900,400","$13,625,500",Road,N/A
TIGER IV,2012,Obama,No,"I-95 Butler Blvd./ US-1 Hwy, Interchange and intersection improvements",Jacksonville Transportation Authority,Florida,Jacksonville,#N/A,"$17,600,000","$22,000,000",Road,N/A
TIGER IV,2012,Obama,No,Lee County Complete Streets Initiative,Lee County Metropolitan Planning Organization,Florida,Cape Coral,#N/A,"$10,028,741","$14,624,825",Bicycle and Pedestrian,N/A
TIGER IV,2012,Obama,No,Miami International Airport Perimeter Road Widening & Realignment,Miami-Dade Aviation Department,Florida,Miami,#N/A,"$19,200,000","$24,000,000",Road,N/A
TIGER IV,2012,Obama,No,NE Florida Rural Transportation Connectivity Initiative,Putnam County Board of County Commissioners,Florida,East Palatka,#N/A,"$8,173,276","$10,173,276",Road,N/A
TIGER IV,2012,Obama,No,North River Road,Sarasota County Board of County Commissioners,Florida,Sarasota,#N/A,"$28,800,000","$36,000,000",Road,N/A
TIGER IV,2012,Obama,No,NW 27th Ave Enhanced Bus Service,Miami-Dade Transit,Florida,Miami,#N/A,"$7,315,000","$10,450,000",Transit,N/A
TIGER IV,2012,Obama,No,Old Kings Road North,City of Palm Coast,Florida,Palm Coast,#N/A,"$13,208,000","$16,511,000",Road,N/A
TIGER IV,2012,Obama,No,Opa-locka Roadway Network Improvement Project,City of Opa-locka,Florida,Opa Locka,#N/A,"$10,000,000","$12,500,000",Road,N/A
TIGER IV,2012,Obama,No,Orange Avenue Midtown Multimodal Corridor Improvement Project,City of Daytona Beach,Florida,Daytona Beach,#N/A,"$13,239,001","$18,439,001",Road,N/A
TIGER IV,2012,Obama,No,Orlando Regional Multimodal Pedestrian Safety Program,"Orange County, Florida",Florida,Orlando,#N/A,"$14,795,206","$19,158,633",Bicycle and Pedestrian,N/A
TIGER IV,2012,Obama,No,Phase 1 Multi-Modal Connection at Orlando International Airport,Greater Orlando Aviation Authority,Florida,Orlando,#N/A,"$20,000,000","$25,000,000",Road,N/A
TIGER IV,2012,Obama,No,Pinellas Advanced Transportation Systems,"Pinellas County, Florida",Florida,Clearwater,#N/A,"$15,000,000","$33,400,000",Road,N/A
TIGER IV,2012,Obama,No,Pinellas/Progress Energy Trail,Pinellas County Metropolitan Planning Organization,Florida,Clearwater,#N/A,"$12,000,000","$15,092,900",Bicycle and Pedestrian,N/A
TIGER IV,2012,Obama,No,Port Canaveral North Cargo Pier 6 (NCP6) Project,Canaveral Port Authority,Florida,Cape Canaveral,#N/A,"$12,000,000","$19,500,000",Maritime,N/A
TIGER IV,2012,Obama,No,Port of Palm Beach Seaport Infrastructure and Freight Rail Transportation Investment Project,Port of Palm Beach District,Florida,West Palm Beach,#N/A,"$20,000,000","$42,000,000",Maritime,N/A
TIGER IV,2012,Obama,No,Port Redwing Rail Access,Tampa Port Authority,Florida,Tampa,#N/A,"$6,000,000","$12,000,000",Freight Rail,N/A
TIGER IV,2012,Obama,No,Regional Intermodal Center (RIC),Polk County Board of County Commissioners,Florida,Bartow,#N/A,"$20,000,000","$41,000,000",Transit,N/A
TIGER IV,2012,Obama,No,Road Network Improvements Lee County Port Authority,Lee County Port Authority,Florida,Fort Myers,#N/A,"$16,414,000","$86,414,000",Road,N/A
TIGER IV,2012,Obama,No,SE 92nd Loop (aka Belleview Bypass),Marion County Board of County Commissioners,Florida,Ocala,#N/A,"$20,640,000","$25,800,000",Road,N/A
